Authors,Title,Abstract,Link,Publication,Volume,Number,Pages,Year,Publisher
"Agarwal, Amit; Panda, Srikant; Pachauri, Kulbhushan; ",Synthetic document generation pipeline for training artificial intelligence models,"Embodiments described herein are directed towards a synthetic document generation pipeline for training artificial intelligence models. One embodiment includes a method including a device that receives an instruction to generate a document to be used as a training instance for a first machine learning model, the instruction including an element configuration, a document class configuration, a format configuration, an augmentation configuration, and data bias and fairness. The device can receive an element from an interface based at least in part on the element configuration, the element can simulate a real-world image, real-world text, or real-world machine-readable visual code. The device can generate metadata describe a layout for the element on the document based on the document class configuration. The device can generate the document by arranging the element on the document based on the metadata, wherein the document is generated in a format based on the format configuration.",https://patents.google.com/patent/US20240005640A1/en,,,,,2024,"US Patent 20,240,005,640"
"AGARWAL, AMIT; ",Evaluate generalisation & robustness of visual features from images to video,"Unlabeled data has always been more readily available for researchers and industrial applications but supervised learning techniques consistently outperformed unsupervised learning techniques, limiting our capability to capitalise on the massive volume of unlabeled data. Recently, self-supervised learning techniques have attempted to generate supervised signals from unlabeled data to learn a pretask and thus generate general visual representations. However, they are still in their early stage for computer vision tasks due to the different modalities and high-dimensional input signals like images, videos (with audio), 3D objects and geometry. This research studies the generalisation, robustness, and reusability of visual features learned from self-supervised image-based models for video-based tasks like action recognition and action retrieval for UCF101 and HMDB51 datasets. This research proposes a deep learning model that can be trained to adapt visual features learned from image-based models for action recognition and action retrieval task. Finally, clustering and silhouette score analysis is conducted to objectively evaluate the quality of these visual features for video tasks. The trained model head outperforms other video-based models trained on a similar dataset for the action recognition task by a margin greater than 20%. For action retrieval, the performance is highly competitive to the stateof-the-art models trained on much larger datasets than the self-supervised models used in this research. Silhouette score analysis results highlight that the image-based visual features cluster the videos correctly though the cluster boundaries are not very distinctive. The results from the experimental procedures univocally conclude that visual features from self-supervised image-based models can be adapted and reused for video-based tasks. It also highlights that different image-based self-supervised models can adapt to video-based tasks; thus, further studies should explore jointly training selfsupervised models for image and video modalities.",https://www.researchgate.net/profile/Amit-Agarwal-62/publication/363539287_Evaluate_Generalisation_Robustness_of_Visual_Features_from_Images_to_Video/links/6321e7f8071ea12e3632736c/Evaluate-Generalisation-Robustness-of-Visual-Features-from-Images-to-Video.pdf,,,,,2021,December
"Agarwal, Amit; Pachauri, Kulbhushan; Zadeh, Iman; Qian, Jun; ",Techniques for graph data structure augmentation,yet to be published,,,,,,2024,"US Patent 11,989,964"
"Agarwal, Amit; Panda, Srikant; Karmakar, Deepak; Pachauri, Kulbhushan; ",DOMAIN ADAPTING GRAPH NETWORKS FOR VISUALLY RICH DOCUMENTS,Supervised machine learning algorithms can require a considerable volume of labeled data with sufficient variations to learn patterns to generalize and extract key-value pairs from a new set of documents.,https://patents.google.com/patent/US20240289551A1/en,,,,,2024,"US Patent 20,240,289,551"
"Duan, Haodong; Yang, Junming; Qiao, Yuxuan; Fang, Xinyu; Chen, Lin; Liu, Yuan; Dong, Xiaoyi; Zang, Yuhang; Zhang, Pan; Wang, Jiaqi; ",Vlmevalkit: An open-source toolkit for evaluating large multi-modality models,"the available training data may be from general domains and models trained on this data may struggle to classify data from different target domains. Accordingly, improvements in training a model to label key-value labeled documents are desirable.",https://dl.acm.org/doi/abs/10.1145/3664647.3685520,Proceedings of the 32nd ACM international conference on multimedia,,,11198-11201,2024,
"Agarwal, Amit; Patel, Hitesh; Pattnayak, Priyaranjan; Panda, Srikant; Kumar, Bhargava; Kumar, Tejaswini; ",Enhancing Document AI Data Generation Through Graph-Based Synthetic Layouts,"The development of robust Document AI models has been constrained by limited access to high-quality, labeled datasets, primarily due to data privacy concerns, scarcity, and the high cost of manual annotation. Traditional methods of synthetic data generation, such as text and image augmentation, have proven effective for increasing data diversity but often fail to capture the complex layout structures present in real world documents. This paper proposes a novel approach to synthetic document layout generation using Graph Neural Networks (GNNs). By representing document elements (e.g., text blocks, images, tables) as nodes in a graph and their spatial relationships as edges, GNNs are trained to generate realistic and diverse document layouts. This method leverages graph-based learning to ensure structural coherence and semantic consistency, addressing the limitations of traditional augmentation techniques. The proposed framework is evaluated on tasks such as document classification, named entity recognition (NER), and information extraction, demonstrating significant performance improvements. Furthermore, we address the computational challenges of GNN based synthetic data generation and propose solutions to mitigate domain adaptation issues between synthetic and real-world datasets. Our experimental results show that graph-augmented document layouts outperform existing augmentation techniques, offering a scalable and flexible solution for training Document AI models.",https://arxiv.org/abs/2412.03590,International Journal of Engineering Research & Technology,13,10,10,2024,IJERT
"Patel, Hitesh Laxmichand; Agarwal, Amit; Kumar, Bhargava; Gupta, Karan; Pattnayak, Priyaranjan; ",Llm for barcodes: Generating diverse synthetic data for identity documents,"Accurate barcode detection and decoding in Identity documents is crucial for applications like security, healthcare, and education, where reliable data extraction and verification are essential. However, building robust detection models is challenging due to the lack of diverse, realistic datasets an issue often tied to privacy concerns and the wide variety of document formats. Traditional tools like Faker rely on predefined templates, making them less effective for capturing the complexity of real-world identity documents. In this paper, we introduce a new approach to synthetic data generation that uses LLMs to create contextually rich and realistic data without relying on predefined field. Using the vast knowledge LLMs have about different documents and content, our method creates data that reflects the variety found in real identity documents. This data is then encoded into barcode and overlayed on templates for documents such as Driver's licenses, Insurance cards, Student IDs. Our approach simplifies the process of dataset creation, eliminating the need for extensive domain knowledge or predefined fields. Compared to traditional methods like Faker, data generated by LLM demonstrates greater diversity and contextual relevance, leading to improved performance in barcode detection models. This scalable, privacy-first solution is a big step forward in advancing machine learning for automated document processing and identity verification.",https://arxiv.org/abs/2411.14962,arXiv preprint arXiv:2411.14962,,,,2024,
"Didwania, Krish; Seth, Pratinav; Kasliwal, Aditya; Agarwal, Amit; ",AgriLLM: Harnessing Transformers for Farmer Queries,"Agriculture, vital for global sustenance, necessitates innovative solutions due to a lack of organized domain experts, particularly in developing countries where many farmers are impoverished and cannot afford expert consulting. Initiatives like Farmers Helpline play a crucial role in such countries, yet challenges such as high operational costs persist. Automating query resolution can alleviate the burden on traditional call centers, providing farmers with immediate and contextually relevant information. The integration of Agriculture and Artificial Intelligence (AI) offers a transformative opportunity to empower farmers and bridge information gaps. Language models like transformers, the rising stars of AI, possess remarkable language understanding capabilities, making them ideal for addressing information gaps in agriculture. This work explores and demonstrates the transformative potential of Large Language Models (LLMs) in automating query resolution for agricultural farmers, leveraging their expertise in deciphering natural language and understanding context. Using a subset of a vast dataset of real-world farmer queries collected in India, our study focuses on approximately 4 million queries from the state of Tamil Nadu, spanning various sectors, seasonal crops, and query types.",https://arxiv.org/abs/2407.04721,arXiv preprint arXiv:2407.04721,,,,2024,
"Didwania, Krish; Toshniwal, Durga; Agarwal, Amit; ",Unveiling Themes in Judicial Proceedings: A Cross-Country Study Using Topic Modeling on Legal Documents from India and the UK,"Legal documents are indispensable in every country for legal practices and serve as the primary source of information regarding previous cases and employed statutes. In today's world, with an increasing number of judicial cases, it is crucial to systematically categorize past cases into subgroups, which can then be utilized for upcoming cases and practices. Our primary focus in this endeavor was to annotate cases using topic modeling algorithms such as Latent Dirichlet Allocation, Non-Negative Matrix Factorization, and Bertopic for a collection of lengthy legal documents from India and the UK. This step is crucial for distinguishing the generated labels between the two countries, highlighting the differences in the types of cases that arise in each jurisdiction. Furthermore, an analysis of the timeline of cases from India was conducted to discern the evolution of dominant topics over the years.",https://arxiv.org/abs/2406.00040,arXiv preprint arXiv:2406.00040,,,,2024,
"Uniyal, Deepak; Agarwal, Amit; ",IRLCov19: A large COVID-19 multilingual twitter dataset of Indian regional languages,"Emerged in Wuhan city of China in December 2019, COVID-19 continues to spread rapidly across the world despite authorities having made available a number of vaccines. While the coronavirus has been around for a significant period of time, people and authorities still feel the need for awareness due to the mutating nature of the virus and therefore varying symptoms and prevention strategies. People and authorities resort to social media platforms the most to share awareness information and voice out their opinions due to their massive outreach in spreading the word in practically no time. People use a number of languages to communicate over social media platforms based on their familiarity, language outreach, and availability on social media platforms. The entire world has been hit by the coronavirus and India is the second worst-hit country in terms of the number of active coronavirus cases. India, being a multilingual country, offers a great opportunity to study the outreach of various languages that have been actively used across social media platforms. In this study, we aim to study the dataset related to COVID-19 collected in the period between February 2020 to July 2020 specifically for regional languages in India. This could be helpful for the Government of India, various state governments, NGOs, researchers, and policymakers in studying different issues related to the pandemic. We found that English has been the mode of communication in over 64% of tweets while as many as twelve regional languages in India account for approximately 4.77% of tweets .",https://link.springer.com/chapter/10.1007/978-3-030-93733-1_22,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,,,309-324,2021,Springer International Publishing Cham
